filename,type,block,block_label,list_order,rank,short_ref,status
798_Carbonaro_2025.pdf,PS,B6b,Schema matching harmonisation,56,798,Carbonaro et al. 2025 - FHIR Pipeline,included
459_Breit_2023.pdf,SV,B1,Fondements NeSy,1,459,Breit et al. 2023 - ML + Semantic Web Mapping,included
368_Belle_2020.pdf,SV,B1,Fondements NeSy,2,368,Belle 2020 - Symbolic Logic + ML,included
076_Kursuncu_2020.pdf,SV,B1,Fondements NeSy,3,76,Kursuncu Gaur Sheth 2020 - K-IL,included
030_Keber_2024.pdf,SV,B1,Fondements NeSy,4,30,Keber et al. 2024 - NeSy + NLP,included
020_Cotovio_2023.pdf,SV,B2a,EA NeSy surveys,6,20,Cotovio Jimenez-Ruiz Pesquita 2023 - KG Alignment + NeSy,included
007_DeLong_2025.pdf,SV,B2a,EA NeSy surveys,7,7,DeLong Mir Fleuriot 2025 - NeSy + KG Reasoning,included
011_Cheng_2024.pdf,SV,B2a,EA NeSy surveys,8,11,Cheng et al. 2024 - Neural-Symbolic KG Reasoning,included
070_Wang_2025.pdf,SV,B2a,EA NeSy surveys,9,70,Wang Li 2025 - Temporal KG Reasoning,included
056_Portisch_2025.pdf,SV,B3a,OM surveys,19,56,Portisch Hladik Paulheim 2025 - Background Knowledge OM,included
264_Barlaug_2021.pdf,SV,B3a,OM surveys,20,264,Barlaug Gulla 2021 - Neural Networks EM,included
265_Li_2021.pdf,SV,B3a,OM surveys,21,265,Li et al. 2021 - Deep Entity Matching,included
119_Tiddi_2022.pdf,SV,B4a,Explicabilite surveys,35,119,Tiddi Schlobach 2022 - KG + XAI,included
002_Meziane_2025.pdf,SV,B4a,Explicabilite surveys,36,2,Meziane et al. 2025 - Symbolic XAI,included
156_Zhang_2024.pdf,SV,B4a,Explicabilite surveys,37,156,Zhang Yilmaz Liu 2024 - ILP + XAI,included
1483_Peng_2024.pdf,SV,B6a,Harmonisation surveys,47,1483,Peng et al. 2024 - Data Harmonization Medical,included
466_Diaz-de-Arcaya_2025.pdf,SV,B6a,Harmonisation surveys,48,466,Diaz-de-Arcaya et al. 2025 - Data Harmonization Data Spaces,included
358_Koutras_2021.pdf,SV,B6a,Harmonisation surveys,49,358,Koutras et al. 2021 - Valentine Benchmark,included
1079_Hong_2025.pdf,SV,B6a,Harmonisation surveys,50,1079,Hong Park 2025 - LLMs Semantic Join,included
