title,abstract,authors,year,doi,source,keywords,doc_type,citations,database,query
Medical Implications of LLM Based Clinical Decision Support Systems in Healthcare,"the development of large language models (LLMs) has also opened new horizons in the healthcare sector. In this study, the potential contributions of large language models to clinical decision support systems (CDSS) are presented in detail. The capabilities of these models, which can be used in critical tasks such as diagnosis, disease prediction and optimization of patient management processes, have been comprehensively analyzed. In the study, general purpose large language models (ChatGPT, Gemma, Meta Llama, Mixtral) and models developed specifically for the healthcare field (BioBART, GatorTron) have been comparatively examined. The performance of the models has been evaluated on the basis of criteria such as semantic similarity, disease prediction accuracy and generalization capacity; MedMCQA and PubMedQA datasets have been utilized in this process. The results clearly reveal the strengths and weaknesses of large language models in the healthcare sector and provide concrete suggestions for their more effective use in clinical applications.",C. U. Ogdu; S. Gurbuz; M. Karakose; E. Hanoglu,2025,10.1109/it64745.2025.10930252,2025 29th International Conference on Information Technology (IT),,IEEE Conferences,4.0,IEEE,R1
Enhancing Digital Continuity and Interoperability in Building Energy Management: A Digital Twin Approach with Large Language Models *,"In the field of building energy management, the heterogeneity of data arising from the coexistence of multiple standards and ontologies, such as Building Energy Management (BEM) and Building Management Systems (BMS), presents a critical obstacle to achieving efficient, interoperable, and continuous digital twins (DTs). These systems produce disparate and often semantically incompatible data, impeding seamless integration and hindering the realization of holistic energy management strategies. To overcome these challenges, advanced data structuring and AI-based strategies are imperative to ensure semantic interoperability and uninterrupted data continuity across heterogeneous systems. This paper introduces a novel approach for constructing a unified ontology that harmonizes BEM and BMS standards, enabling the seamless fusion of their datasets within a digital twin architecture. By leveraging the capabilities of Large Language Models (LLMs), we enrich the semantic structuring process, facilitating automated and precise reconciliation of heterogeneous data sources. Experimental results underscore the viability and efficacy of the proposed methodology in maintaining robust interoperability and ensuring digital continuity, thereby enhancing the operational efficiency of digital twins for smart building energy management.",F. Ababsa; Z. Zheng; E. Yahya; E. Farazdaghi; R. El Meouche; S. Marie,2025,10.1109/codit66093.2025.11321508,"2025 11th International Conference on Control, Decision and Information Technologies (CoDIT)",,IEEE Conferences,,IEEE,R1
A Unified Multi-Scenario Framework for Schema Matching based on LLM,"Schema matching is pivotal in data integration, identifying semantic equivalences between attributes in structured data tables. Existing methods focus on schema-level or instance-level matching, excelling only in specific scenarios. This underscores the need for a unified approach adaptable to varying data availability conditions. This paper presents a unified schema matching framework based on large language models (LLMs) that effectively addresses schema matching tasks across three distinct scenarios: a Scenario with only MetaData (SMD), a Scenario with a Small amount of instance Data (SSD), and a Scenario with a Large amount of instance Data (SLD).The framework employs a two-step approach, integrating feature similarity computation with LLM prompt engineering. The first step involves comprehensive feature extraction and similarity analysis to efficiently filter potential matches, followed by scenario-specific LLM prompting for precise semantic matching. Our approach integrates textual, structural, and semantic features with LLM-based analysis using LLaMA3.1-8b as its base model. Extensive experiments on WikiData and MIMIC-III datasets validate the framework’s effectiveness, achieving an F1 score of 92.5 and precision of 95.8 in the SLD scenario, while maintaining robust performance in scenarios with limited data. Ablation studies confirm that this two-step approach enhances both efficiency and accuracy, validating the framework’s capability to address diverse schema matching requirements within a unified solution.",Q. Gao; Y. Xiao; Y. Hu; R. Zhao; B. Liu; Z. Feng; Y. Wang; X. Li,2025,10.1109/ijcnn64981.2025.11227582,2025 International Joint Conference on Neural Networks (IJCNN),Schema Matching;Large Language Models;Feature Similarity Computation;Prompt Engineering;Multi-Scenario,IEEE Conferences,,IEEE,R1
Significance of Syntactic Type Identification in Embedding Vector based Schema Matching,"Data Interoperability provides a bridge between information systems to store, exchange and consume heterogeneous data. In order to achieve this goal, schema maps provide the necessary foundations. Traditional solutions rely on expert generated rules, ontologies, and syntactic matching to identify the similarity between attributes in the various data schema. While previously we have presented the effectiveness of transformer based models and unsupervised learning to calculate attribute similarities, in this paper we present the additional application of a naive syntactic similarity measurement We have evaluated the results of agreement between the computed and human annotated results, in terms of Mathews Correlation Coefficient (MCC). These results indicate that on weighted comparison there is no positive effect of including naive syntactic similarity in addition to semantic similarity.",F. A. Satti; M. Hussain; S. Lee; T. Chung,2022,10.1109/imcom53663.2022.9721780,2022 16th International Conference on Ubiquitous Information Management and Communication (IMCOM),Schema Matching;Health Information Management;Text Processing;Transfer Learning,IEEE Conferences,1.0,IEEE,R1
Dynamic Pseudo-Labeling via Large Language Models for Robust Medical Image Segmentation,"In the field of medical image segmentation, the high cost of annotated data and the poor generalization performance of the model have always been problems that need to be solved urgently. In this study, we innovatively propose a cross-modal collaboration framework based on large language model (LLM), MedSegLLM, which aims to overcome the two major difficulties of weakly supervised learning and domain adaptation at the same time, and open up an efficient and interpretable new path for medical image analysis: 1) Cross-modal semantic alignment network: Through a unique mapping strategy, medical image features and accurate text descriptions generated by LLM are projected into the same semantic space, cleverly bridging the understanding gap between vision and language, and achieving deep semantic integration across modalities. 2) Dynamic pseudolabel generator: deeply excavate the powerful logical reasoning potential of LLM, intelligently generate high-credibility segmentation masks, provide an effective way to break the dilemma of a lack of annotated data, and the generation process has adaptive optimization capabilities. 3) Adaptive feature fusion module: According to the image differences generated by different medical devices, it intelligently integrates multi-source feature information, comprehensively improves the generalization and adaptability of models across devices and scenarios, and ensures the stability of clinical applications. MedSegLLM has been experimentally proven to perform well on BraTS (Brain Tumor Segmentation Benchmark), ISIC (Dermoscopy Image Dataset) and proprietary CT datasets. In particular, under the severe conditions of low annotation data rate (only $10 \%$), the Dice coefficient is still as high as 0.91, which is significantly higher than that of traditional strongly supervised U-Net (0.85) and advanced TransUNet (0.88) ($\mathbf{p}\lt \mathbf{0 . 0 1}$). The cross-device generalization error of the framework is reduced by $32 \%$ compared with the existing schemes, which fully demonstrates its adaptability and robustness in complex medical environments(The model can maintain stable and high - accuracy segmentation performance in complex conditions without significant drops due to environmental changes or data - quality issues). Even in low-resource hospitals (less than $10 \%$ of labeled data) and emergency diagnosis scenarios, it can still maintain high-precision output, which is of great clinical practical value. It will provide a strong boost for the inclusive development of global medical imaging technology, and is expected to accelerate the popularization of precision medicine in medical institutions at all levels.",Z. Tang,2025,10.1109/icbase66587.2025.11181232,2025 6th International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE),Medical Image Segmentation;Large language model;Pseudo Labeling;Cross-Modal Collaboration;Domain Adaptation,IEEE Conferences,,IEEE,R1
LLM Driven Smart Assistant for Data Mapping,"Data mapping is a crucial step during application migration and application integration. Data (model) mapping comprises “schema matching” to identify semantically equivalent fields between two schemas and ”transformation logic”, a set of rules for converting data from one schema to another. In current industry practice, data mapping is largely manual, performed by domain experts. We present a data mapping solution powered by Large Language Models (LLMs), offering significant improvements in precision over state-of-the-art (SOTA) methods, along with multiple automation workflows that allow users to provide various input triggers (context) for inferring the mappings. We illustrate this contribution using several representative industrial datasets.",A. Bedagkar; S. Mitra; R. Medicherla; R. Naik; S. Pal,2025,10.1109/icse-seip66354.2025.00022,2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),Generative AI;Machine Learning;Data Migration;Data Transformation;Sentence Embeddings,IEEE Conferences,1.0,IEEE,R1
Attribute Similarity and Relevance-Based Product Schema Matching for Targeted Catalog Enrichment,"Many eCommerce catalogs rely on structured prod-uct data to provide a good experience for customers. For large scale services, product information is provided by millions of different manufacturer and vendor schemas. Due to inherent heterogeneity of this data, unifying it to a consistent catalog schema remains a challenge. Schema matching is the problem of finding such correspondences between concepts in different distributed, heterogeneous data sources. Most approaches in automated schema matching assume either a small number of source schemas, attributes, and contexts (i.e., matching movie attributes from media knowledge bases). By contrast, schema matching in product catalogs encounter the problem of scaling across millions of noisy, heterogenous schemas spanning thou-sands of categories and attributes. In this paper, we introduce a scalable schema matching framework that utilizes unsupervised domain-specific attribute representations and general attribute similarity metrics. Our method first identifies relevant attributes for a given product based on existing customer signals, and then prioritizes among candidate attributes to consolidate only those relevant product facts from multiple manufacturers and vendors with little to no labeled data. We demonstrate value by experiments that enriched catalog data containing millions of attribute enumer-ations sourced from tens of thousands of schemas across a wide range of product categories. Experimental results show reduced manual annotation efforts by 75% from competing schema matching efforts by automating schema matching on targeted product facts, resulting in high accuracy, precision, and recall for important attributes that contribute to customer interest. We also demonstrate performance improvements of 8% MRR using our approach compared against two well-established approaches to unsupervised schema matching.",E. Shieh; S. Simhon; G. Aluri; G. Papachristoudis; D. Yakut; D. Raghu,2021,10.1109/ickg52313.2021.00043,2021 IEEE International Conference on Big Knowledge (ICBK),Natural Language Processing;eCommerce;Schema Matching,IEEE Conferences,,IEEE,R1
Breast Cancer Image Classification: Leveraging Deep Learning and Large Language Models for Semantic Integration,"Breast cancer, a significant global health problem that is mainly affecting women, demonstrates the importance of early detection to enhance survival rates. Medical image classification is a significant field that utilizes deep learning methods such as Convolutional Neural Networks (CNNs), Region-Based CNNs (R-CNNs), and Deep Neural Networks (DNNs). Despite this, challenges such as over fitting persist, particularly with limited data or complex models. Although these models learn hierarchical features, interpreting them in intricate image structures is still challenging and complicates decision rationale. To address this, we propose a comprehensive approach for breast cancer image classification. The initial process involves image segmentation using CNN to identify regions of interest, followed by precise object detection with OpenCV. Data quality and diversity are ensured by preprocessing and augmentation with ImageDataGenerator, while informative features are extracted using the InceptionV3model. Our analysis of textual descriptions and embeddings is done by integrating Sentence Transformers and CLIP from the Large Language Model (LLM) framework. Achieving robust decision-making is ensured by setting a threshold of 0.7 for image classification based on predicted malignancy probability. Finally, improving the computations of similarity scores can improve prediction accuracy for reliable diagnostic interpretations. An accuracy of 0.92 in breast cancer diagnosis is guaranteed by integrating LLM and CNN for classification.",K. K. Harini; R. Nandhini; A. M. Rajeswari; R. Deepalakshmi,2024,10.1109/inc460750.2024.10649116,2024 IEEE International Conference on Contemporary Computing and Communications (InC4),Breast Cancer;Image Classification;Machine Learning;Deep Learning;LLM,IEEE Conferences,2.0,IEEE,R1
Knowledge Graph-Empowered Materials Discovery,"In this position paper, we describe research on knowledge graph-empowered materials science prediction and discovery. The research consists of several key components including ontology mapping, materials data annotation, and information extraction from unstructured scholarly articles. We argue that although big data generated by simulations and experiments have motivated and accelerated the data-driven science, the distribution and heterogeneity of materials science-related big data hinders major advancements in the field. Knowledge graphs, as semantic hubs, integrate disparate data and provide a feasible solution to addressing this challenge. We design a knowledge-graph based approach for data discovery, extraction, and integration in materials science.",X. Zhao; J. Greenberg; S. McClellan; Y. -J. Hu; S. Lopez; S. K. Saikin; X. Hu; Y. An,2021,10.1109/bigdata52589.2021.9671503,2021 IEEE International Conference on Big Data (Big Data),Knowledge Graph;Materials Discovery;Information Extraction;Ontology;Natural Language Processing,IEEE Conferences,10.0,IEEE,R1
Compact Multitasking Multichromosome Genetic Algorithm for Heuristic Selection in Ontology Matching,"Ontology matching (OM) is critical for knowledge integration and system interoperability on the semantic web, tasked with identifying semantically related entities across different ontologies. Despite its importance, the complexity of terminology semantics and the large number of potential matches present significant challenges. Existing methods often struggle to balance between accurately capturing the multifaceted nature of semantic relationships and computational efficiency. This work introduces a novel approach, a compact multitasking multichromosome genetic algorithm for Heuristic selection (HS) in OM, designed to navigate the nuanced hierarchical structure of ontologies and diverse entity mapping preferences. Our method combines compact genetic algorithms with multichromosome optimization for entity sequencing and assigning HS, alongside an adaptive knowledge transfer mechanism to finely balance exploration and exploitation efforts. Evaluated on the ontology alignment evaluation initiative's benchmark, our algorithm demonstrates superior ability to produce high-quality ontology alignments efficiently, surpassing comparative methods in both effectiveness and efficiency. These findings underscore the potential of advanced genetic algorithms in enhancing OM processes, offering significant contributions to the broader AI field by improving the interoperability and knowledge integration capabilities of semantic web technologies.",X. Xue; J. C. -W. Lin; T. Su,2024,10.1109/tai.2024.3442731,IEEE Transactions on Artificial Intelligence,Compact genetic algorithm;Heuristic selection (HS);multichromosome;multitasking optimization;ontology matching (OM),IEEE Journals,4.0,IEEE,R1
Integrating Semantic Information into Sketchy Reading Module of Retro-Reader for Vietnamese Machine Reading Comprehension,"Machine Reading Comprehension has become one of the most advanced and popular research topics in the fields of Natural Language Processing in recent years. The classification of answerability questions is a relatively significant sub-task in machine reading comprehension; however, there haven't been many studies. Retro-Reader is one of the studies that has solved this problem effectively. However, the encoders of most traditional machine reading comprehension models in general and Retro-Reader, in particular, have not been able to exploit the contextual semantic information of the context completely. Inspired by SemBERT, we use semantic role labels from the Semantic Role Labeling (SRL) task to add semantics to pre-trained language models such as mBERT, XLM-R, PhoBERT. This experiment was conducted to compare the influence of semantics on the classification of answerability for the Vietnamese machine reading comprehension. Additionally, we hope this experiment will enhance the encoder for the Retro-Reader model's Sketchy Reading Module. The improved Retro-Reader model's encoder with semantics was first applied to the Vietnamese Machine Reading Comprehension task and obtained positive results.",H. T. -T. Le; V. -D. Ho; D. -V. Nguyen; N. L. -T. Nguyen,2022,10.1109/nics56915.2022.10013390,2022 9th NAFOSTED Conference on Information and Computer Science (NICS),Machine Reading Comprehension;Semantic Role Labeling;SemBERT;Natural Language Processing;Natural Language Understanding,IEEE Conferences,2.0,IEEE,R1
CISKGG: A Collective Intelligence Strategy for Heterogeneous Knowledge Graph Generation for Criminology as a Domain of Choice,"Knowledge Graph (KG) generation is a promising problem which has to be tackled in the era of Web 3.0 as the web is moving towards a more intelligent and organized semantic web. This paper proposes a framework for KG generation for criminology as a prospective domain of choice. The proposed model uses two distinct deep learning classifiers namely the Transformers and Gated Recurrent Units (GRUs) to classify the dataset and the generated metadata respectively. A static upper domain ontology is also made use of as a reference ontology to aggregate and grow the knowledge base. Knowledge and instance aggregation is achieved using Wikidata and Moki as standard prospective knowledge stores along with the Latent Dirichlet allocation (LDA) based topic modelling. This framework also generates the ontologies dynamically using OntoColab and the alignment of static and dynamic ontologies is achieve using the Lin Similarity measure with a specified threshold. The encompassment of entities from a News API knowledge stack, which integrates five different news APIs, helps in further enrichment of entities as well as instances. The Second Order Cooccurrence Pointwise Mutual Information (SOC-PMI) measure with the Goodall Index with variation in thresholds and differential step deviance measures ensures relevant information filtering and the Fish School Search with APMI helps in instance alignment along with the optimization of the feasible solution set to a much more optimal solution set to formulate the finalized highly relevant KG. This proposed CISKGG framework achieves an overall precision of 97.02 with the lowest FDR of 0.03.",M. S; G. Deepak; P. C N,2022,10.1109/icwite57052.2022.10176264,"2022 IEEE International Conference for Women in Innovation, Technology & Entrepreneurship (ICWITE)",Knowledge Graphs;Criminology domain;Ontology alignment;Transformer;GRUs;Web 3.0;Knowledge stores,IEEE Conferences,1.0,IEEE,R1
Joint Embedding-Based Entity Alignment for Knowledge Fusion of Power Standard Knowledge Graphs,"Knowledge graphs have become essential tools for structuring and managing complex information, driving the digital transformation of power standards. Due to the heterogeneous sources and domain-specific nature of power standards, Power Standard Knowledge Graphs (PSKGs) often suffer from fragmented knowledge, semantic inconsistencies, and poor interoperability, making entity alignment a crucial yet challenging task. To address this issue, JEEA (Joint Embedding-Based Entity Alignment) is proposed as a novel approach that integrates structural, attribute, and name embeddings through a weighted fusion strategy. By simultaneously capturing topological and semantic features, JEEA significantly enhances alignment accuracy across heterogeneous PSKGs. Experimental results demonstrate that JEEA achieves good entity alignment performance in PSKGs, thereby facilitating more efficient knowledge fusion and intelligent power standard management.",H. Xiong; B. Zhang; Q. Xiang; X. Liu; H. Chen,2025,10.1109/acpee64358.2025.11040855,2025 10th Asia Conference on Power and Electrical Engineering (ACPEE),Entity alignment;Knowledge fusion;Power standards;Knowledge graphs,IEEE Conferences,,IEEE,R1+R2B
Automatic Database Alignment Method to Improve Failure Data Quality,"Life-cycle data analysis mainly relies on coherent failure data. Generally, in the industry, failure data are recorded in various Enterprise Resource Planning (ERP) databases and can lead to inconsistent failure data analysis. The aim of this paper is to propose a new method to automatically merge existing failure datasets into one main database to reduce inconsistency and allow valuable analysis and stochastic/predictive models. The methodology is as follows. First, the data is cleaned using rules from domain knowledge. Second, similar features between the two databases were evaluated by applying correlation technique. Finally, we developed a rule-based engine to merge existing failure datasets into one main database. Our rule-based engine was calibrated according to the distribution of the observed distance between similar features. At first, we were able to match the failure data by 65%, then we enhanced our algorithm using Natural Language Processing (NLP) technique and we were able to reach an outstanding score of 85%. Traditionally this data alignment is done yearly by human experts. This is an extremely time-consuming task, and our automatic matching algorithm reduces workload by 70% and biases in life-cycle data analysis. With a confidence level our algorithm interactively suggests matches according to their distances.",Y. Liang; O. Blancke; M. Gaha; A. Côté; G. St-Jean; E. Aïmeur,2022,10.1109/rams51457.2022.9893932,2022 Annual Reliability and Maintainability Symposium (RAMS),data alignment;life data analysis;natural language processing;decision trees;data quality;machine learning,IEEE Conferences,1.0,IEEE,R1
