id,snowball_type,tier,year,authors,title,doi,source_surveys,source_articles,in_corpus,corpus_rank,corpus_decision,priority,decision_snowball,notes,abstract,tri1,tri2,rank
SV-11,survey,1,2020,"Iyer, Agarwal, Kumar",VeeAlign: A Supervised Deep Learning Approach to Ontology Alignment,,Portisch_2025,,oui,591; 604,exclude,,,"I4 echoue: VeeAlign = dual-attention DL pur pour ontology alignment. Pas de raisonnement symbolique actif. 100% neural (contexte multi-facettes, attention mechanism).","While deep learning approaches have shown promising results in Natural Language Processing and Computer Vision domains, they have not yet been able to achieve impressive results in Ontology Alignment, and have typically performed worse than rule-based approaches. Some of the major reasons for this are: a) poor modelling of context, b) overfitting of standard DL models, and c) dataset sparsity, caused by class imbalance of positive alignment pairs wrt negative pairs. To mitigate these limitations, we propose a dual-attention based approach that uses a multi-faceted context representation to compute contextualized representations of concepts, which is then used to discover semantically equivalent concepts.<br/>",inclus,exclu_I4,
SV-12,survey,1,2019,"Qu, Tang",Probabilistic Logic Neural Networks for Reasoning,10.48550/arxiv.1906.08495,DeLong_2025,,non,,,,,,"Knowledge graph reasoning, which aims at predicting the missing facts through reasoning with the observed facts, is critical to many applications. Such a problem has been widely explored by traditional logic rule-based approaches and recent knowledge graph embedding methods. A principled logic rule-based approach is the Markov Logic Network (MLN), which is able to leverage domain knowledge with first-order logic and meanwhile handle their uncertainty. However, the inference of MLNs is usually very difficult due to the complicated graph structures. Different from MLNs, knowledge graph embedding methods (e.g. TransE, DistMult) learn effective entity and relation embeddings for reasoning, which are much more effective and efficient. However, they are unable to leverage domain knowledge. In this paper, we propose the probabilistic Logic Neural Network (pLogicNet), which combines the advantages of both methods. A pLogicNet defines the joint distribution of all possible triplets by using a Markov logic network with first-order logic, which can be efficiently optimized with the variational EM algorithm. In the E-step, a knowledge graph embedding model is used for inferring the missing triplets, while in the M-step, the weights of logic rules are updated based on both the observed and predicted triplets. Experiments on multiple knowledge graphs prove the effectiveness of pLogicNet over many competitive baselines.",exclu_E6_hors_periode,,
SV-13,survey,1,2022,"Boschin, Jain, Keretchashvili, Suchanek",Combining Embeddings and Rules for Fact Prediction,10.4230/OASIcs.AIB.2022.4,DeLong_2025,,non,,,,,,"Embedding knowledge graphs (KGs) into continuous vector spaces is a focus of current research. Early works performed this task via simple models developed over KG triples. Recent attempts focused on either designing more complicated triple scoring models, or incorporating extra information beyond triples. This paper, by contrast, investigates the potential of using very simple constraints to improve KG embedding. We examine non-negativity constraints on entity representations and approximate entailment constraints on relation representations. The former help to learn compact and interpretable representations for entities. The latter further encode regularities of logical entailment between relations into their distributed representations. These constraints impose prior beliefs upon the structure of the embedding space, without negative impacts on efficiency or scalability. Evaluation on WordNet, Freebase, and DBpedia shows that our approach is simple yet surprisingly effective, significantly and consistently outperforming competitive baselines. The constraints imposed indeed improve model interpretability, leading to a substantially increased structuring of the embedding space. Code and data are available at https://github.com/iieir-km/ComplEx-NNE_AER.",exclu_E1_KG_completion,,
SV-14,survey,1,2020,"Minervini, Riedel, Stenetorp, Grefenstette",Learning Reasoning Strategies in End-to-End Differentiable Proving,10.3233/faia210359,Cheng_2024,,non,,,,,,"Attempts to render deep learning models interpretable, data-efficient, and robust have seen some success through hybridisation with rule-based systems, for example, in Neural Theorem Provers (NTPs). These neuro-symbolic models can induce interpretable rules and learn representations from data via back-propagation, while providing logical explanations for their predictions. However, they are restricted by their computational complexity, as they need to consider all possible proof paths for explaining a goal, thus rendering them unfit for large-scale applications. We present Conditional Theorem Provers (CTPs), an extension to NTPs that learns an optimal rule selection strategy via gradient-based optimisation. We show that CTPs are scalable and yield state-of-the-art results on the CLUTRR dataset, which tests systematic generalisation of neural models by learning to reason over smaller graphs and evaluating on larger ones. Finally, CTPs show better link prediction results on standard benchmarks in comparison with other neural-symbolic models, while being explainable. All source code and datasets are available online. (At https://github.com/uclnlp/ctp)",exclu_E1_pas_tache_matching,,
SV-15,survey,2,2023,"d'Avila Garcez, Lamb",Neurosymbolic AI: The 3rd Wave,10.1007/s10462-023-10448-w,DeLong_2025,,non,,,,,,"Current advances in Artificial Intelligence (AI) and Machine Learning have achieved unprecedented impact across research communities and industry. Nevertheless, concerns around trust, safety, interpretability and accountability of AI were raised by influential thinkers. Many identified the need for well-founded knowledge representation and reasoning to be integrated with deep learning and for sound explainability. Neurosymbolic computing has been an active area of research for many years seeking to bring together robust learning in neural networks with reasoning and explainability by offering symbolic representations for neural models. In this paper, we relate recent and early research in neurosymbolic AI with the objective of identifying the most important ingredients of neurosymbolic AI systems. We focus on research that integrates in a principled way neural network-based learning with symbolic knowledge representation and logical reasoning. Finally, this review identifies promising directions and challenges for the next decade of AI research from the perspective of neurosymbolic computing, commonsense reasoning and causal explanation.",exclu_E4_E5_position,exclu_E4_E5_position,
SV-16,survey,2,2020,"De Raedt, Dumančić, Manhaeve, Marra",From Statistical Relational to Neuro-Symbolic Artificial Intelligence,10.24963/ijcai.2020/688,Zhang_2024,,non,,,,,,Neuro-symbolic and statistical relational artificial intelligence both integrate frameworks for learning with logical reasoning. This survey identifies several parallels across seven different dimensions between these two fields. These cannot only be used to characterize and position neuro-symbolic artificial intelligence approaches but also to identify a number of directions for further research.,exclu_E5_survey,,
SV-17,survey,2,2017,"Besold, d'Avila Garcez, Bader, Bowman",Neural-Symbolic Learning and Reasoning: A Survey and Interpretation,10.48550/arxiv.1711.03902,Breit_2023,,non,,,,,,"The study and understanding of human behaviour is relevant to computer science, artificial intelligence, neural computation, cognitive science, philosophy, psychology, and several other areas. Presupposing cognition as basis of behaviour, among the most prominent tools in the modelling of behaviour are computational-logic systems, connectionist models of cognition, and models of uncertainty. Recent studies in cognitive science, artificial intelligence, and psychology have produced a number of cognitive models of reasoning, learning, and language that are underpinned by computation. In addition, efforts in computer science research have led to the development of cognitive computational systems integrating machine learning and automated reasoning. Such systems have shown promise in a range of applications, including computational biology, fault diagnosis, training and assessment in simulators, and software verification. This joint survey reviews the personal ideas and views of several researchers on neural-symbolic learning and reasoning. The article is organised in three parts: Firstly, we frame the scope and goals of neural-symbolic computation and have a look at the theoretical foundations. We then proceed to describe the realisations of neural-symbolic computation, systems, and applications. Finally we present the challenges facing the area and avenues for further research.",exclu_E6_hors_periode,,
SV-18,survey,2,2020,"Hitzler, Bianchi, Ebrahimi, Sarker",Neural-Symbolic Integration and the Semantic Web,10.3233/sw-190368,Breit_2023,,non,,,,,,"Symbolic Systems in Artificial Intelligence which are based on formal logic and deductive reasoning are fundamentally different from Artificial Intelligence systems based on artificial neural networks, such as deep learning approaches. The difference is not only in their inner workings and general approach, but also with respect to capabilities. Neural-symbolic Integration, as a field of study, aims to bridge between the two paradigms. In this paper, we will discuss neural-symbolic integration in its relation to the Semantic Web field, with a focus on promises and possible benefits for both, and report on some current research on the topic.",exclu_E4_position,,
SV-19,survey,2,2021,"Sarker, Zhou, Eberhart, Hitzler",Neuro-Symbolic Artificial Intelligence: Current Trends,10.3233/AIC-210084,Breit_2023,,non,,,,,= BT-20,"Neuro-Symbolic Artificial Intelligence – the combination of symbolic methods with methods that are based on artificial neural networks – has a long-standing history. In this article, we provide a structured overview of current trends, by means of categorizing recent publications from key conferences. The article is meant to serve as a convenient starting point for research on the general topic.",exclu_E5_survey,,
SV-20,survey,2,2022,"Hitzler, Eberhart, Ebrahimi, Sarker",Neuro-Symbolic Approaches in Artificial Intelligence,10.1093/nsr/nwac035,DeLong_2025,,non,,,,,= BT-19,artificial,exclu_E5_survey,exclu_E5_survey,
SV-21,survey,2,2016,"Serafini, d'Avila Garcez",Logic Tensor Networks: Deep Learning and Logical Reasoning from Data and Knowledge,10.48550/arxiv.1606.04422,Zhang_2024,,oui,412; 1063,exclude,,,,"We propose Logic Tensor Networks: a uniform framework for integrating automatic learning and reasoning. A logic formalism called Real Logic is defined on a first-order language whereby formulas have truth-value in the interval [0,1] and semantics defined concretely on the domain of real numbers. Logical constants are interpreted as feature vectors of real numbers. Real Logic promotes a well-founded integration of deductive reasoning on a knowledge-base and efficient data-driven relational machine learning. We show how Real Logic can be implemented in deep Tensor Neural Networks with the use of Google's tensorflow primitives. The paper concludes with experiments applying Logic Tensor Networks on a simple but representative example of knowledge completion.",exclu_E6_hors_periode,,
SV-22,survey,2,2020,"Lamb, Garcez, Gori, Prates",Graph Neural Networks Meet Neural-Symbolic Computing: A Survey and Perspective,10.24963/ijcai.2020/670,DeLong_2025,,non,,,,,,"With growing adoption of AI across fields such as healthcare, finance, and the justice system, explaining an AI decision has become more important than ever before. Development of human-centric explainable AI (XAI) systems necessitates an understanding of the requirements of the human-in-the-loop seeking the explanation. This includes the cognitive behavioral purpose that the explanation serves for its recipients, and the structure that the explanation uses to reach those ends. An understanding of the psychological foundations of explanations is thus vital for the development of effective human-centric XAI systems. Towards this end, we survey papers from the cognitive science literature that address the following broad questions: (1) what is an explanation, (2) what are explanations for, and 3) what are the characteristics of good and bad explanations. We organize the insights gained therein by means of highlighting the advantages and shortcomings of various explanation structures and theories, discuss their applicability across different domains, and analyze their utility to various types of humans-in-the-loop. We summarize the key takeaways for human-centric design of XAI systems, and recommend strategies to bridge the existing gap between XAI research and practical needs. We hope this work will spark the development of novel human-centric XAI systems.",exclu_E5_survey,,
SV-23,survey,2,2020,"Cropper, Dumančić, Muggleton",Turning 30: New Ideas in Inductive Logic Programming,10.24963/ijcai.2020/673,DeLong_2025,,non,,,,,,"Common criticisms of state-of-the-art machine learning include poor generalisation, a lack of interpretability, and a need for large amounts of training data. We survey recent work in inductive logic programming (ILP), a form of machine learning that induces logic programs from data, which has shown promise at addressing these limitations. We focus on new methods for learning recursive programs that generalise from few examples, a shift from using hand-crafted background knowledge to learning background knowledge, and the use of different technologies, notably answer set programming and neural networks. As ILP approaches 30, we also discuss directions for future research.",exclu_E5_survey,,
BT-01,backtracking,1,2021,"Chen, Hu, Jiménez-Ruiz, Horrocks",OWL2Vec*: Embedding of OWL Ontologies,10.1007/s10994-021-05997-6,,"286, 665",oui,143,include,"haute — cité par 3 articles inclus, OWL axioms + embeddings",,REVISE I4: HermiT OWL reasoner actif (TBox classification + ABox realization) avant random walks. Q1=1 Q2=1 Q3=1 Q4=0.5 Q5=1 Q6=0.5 Total=4.0 pass=oui. HeLiS/FoodOn/GO.,"Ontology alignment is integral to achieving semantic interoperability as the number of available ontologies covering intersecting domains is increasing. This paper proposes OWL2Vec4OA, an extension of the ontology embedding system OWL2Vec*. While OWL2Vec* has emerged as a powerful technique for ontology embedding, it currently lacks a mechanism to tailor the embedding to the ontology alignment task. OWL2Vec4OA incorporates edge confidence values from seed mappings to guide the random walk strategy. We present the theoretical foundations, implementation details, and experimental evaluation of our proposed extension, demonstrating its potential effectiveness for ontology alignment tasks.",inclus,inclus,BT01
BT-02,backtracking,1,2021,Racharak T.,Concept Similarity in DL ELH with Pretrained Word Embedding,10.1109/access.2021.3073730,,"169, 211",non,,,haute — article parent de 169 et 211,,I4 pass: DL ELH reasoner actif + word embeddings (BioWordVec). Q1=1 Q2=1 Q3=1 Q4=1 Q5=0.5 Q6=1 Total=4.5 pass=oui. Explication extraite pour chaque degre de similarite. SNOMED CT evaluation.,"Data-driven and knowledge-driven methods are two mainstream techniques in the pursuit of developing artificial intelligence systems. While data-driven methods seek to develop a decision model from observations in the real world, they are difficult to provide an explanation for the results in human terms. On the other hand, knowledge-driven methods that employ symbolic reasoning based on formal semantics of a knowledge-base are thus more interpretable and explainable, while lacking an ability to deal with incomplete modeling of the structured knowledge-bases. This work aims to tackle these issues on ontology similarity by proposing a general framework that combines the strengths of both approaches for measuring semantic similarity of concepts in a description logic (DL) ontology. More specifically, a neuro-symbolic integrated framework is defined to exploit the pre-trained word embeddings with semantic definitions in an ontology to yield an explainable degree of concept similarity. To demonstrate its applicability, we develop a concrete similarity measure <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$ {\textsf {sim}}_\epsilon $ </tex-math></inline-formula> conforming to the proposed framework and also introduce an efficient algorithm that can extract an explanation for why such a degree is indicated. The correctness is shown by analyzing theoretical properties that it guarantees to preserve and also by performing an empirical evaluation with a medical ontology SNOMED CT and a medical pre-trained embedding BioWordVec. The results show that our proposed method remains both interpretability and explainability while achieving comparable performance, relative to the state-of-the-art approaches in the data and knowledge-driven methods.",inclus,inclus,BT02
BT-03,backtracking,1,2021,"Qi, Zhang, Chen et al.",Unsupervised KG Alignment by Probabilistic Reasoning and Semantic Embedding,10.18653/v1/d19-1250,,"330, 1889, 58",non,,,"haute — cité par 3 articles inclus, raisonnement probabiliste + embeddings",,"I4 pass: PARIS (raisonnement probabiliste symbolique) + KG embeddings en boucle iterative. Comparable a FLORA rank1889. Q1=1 Q2=1 Q3=1 Q4=0.5 Q5=1 Q6=0.5 Total=4.5 pass=oui. Multiples datasets, Hits@k/MRR.","Fabio Petroni, Tim Rocktäschel, Sebastian Riedel, Patrick Lewis, Anton Bakhtin, Yuxiang Wu, Alexander Miller. Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP). 2019.",inclus,inclus,BT03
BT-04,backtracking,1,2021,"Chen, Jiménez-Ruiz, Horrocks, Antonyrajah",Augmenting Ontology Alignment by Semantic Embedding and Distant Supervision,10.1007/978-3-030-77385-4_23,,286,non,,,,,REVISE I4 (doublon idx0): LogMap/AML + Siamese NN. Q1=1 Q2=1 Q3=1 Q4=0.5 Q5=1 Q6=0.5 Total=4.5 pass=oui.,"Ontology alignment plays a critical role in knowledge integration and has been widely investigated in the past decades. State of the art systems, however, still have considerable room for performance improvement especially in dealing with new (industrial) alignment tasks. In this paper we present a machine learning based extension to traditional ontology alignment systems, using distant supervision for training, ontology embedding and Siamese Neural Networks for incorporating richer semantics. We have used the extension together with traditional systems such as LogMap and AML to align two food ontologies, HeLiS and FoodOn, and we found that the extension recalls many additional valid mappings and also avoids some false positive mappings. This is also verified by an evaluation on alignment tasks from the OAEI conference track.",inclus,inclus,SV01_dup
BT-05,backtracking,1,2022,"Kaoudi, Martinez Lorenzo, Markl",Towards Loosely-Coupling KG Embeddings and Ontology-based Reasoning,,,7 (survey DeLong_2025),non,,,,,= SV-06,"Knowledge graph completion (a.k.a.~link prediction), i.e.,~the task of inferring missing information from knowledge graphs, is a widely used task in many applications, such as product recommendation and question answering. The state-of-the-art approaches of knowledge graph embeddings and/or rule mining and reasoning are data-driven and, thus, solely based on the information the input knowledge graph contains. This leads to unsatisfactory prediction results which make such solutions inapplicable to crucial domains such as healthcare. To further enhance the accuracy of knowledge graph completion we propose to loosely-couple the data-driven power of knowledge graph embeddings with domain-specific reasoning stemming from experts or entailment regimes (e.g., OWL2). In this way, we not only enhance the prediction accuracy with domain knowledge that may not be included in the input knowledge graph but also allow users to plugin their own knowledge graph embedding and reasoning method. Our initial results show that we enhance the MRR accuracy of vanilla knowledge graph embeddings by up to 3x and outperform hybrid solutions that combine knowledge graph embeddings with rule mining and reasoning up to 3.5x MRR.",exclu_E1_KG_completion,,
BT-06,backtracking,1,2022,"Ji Q., Li W. et al.",Embedding-Based Approach to Repairing OWL Ontologies,10.3390/app122412655,,673,non,,,,,I4 pass: detection de conflits logiques OWL (symbolique) + embeddings daxiomes pour repair. Comparable a rank673. Q1=1 Q2=1 Q3=1 Q4=0.5 Q5=1 Q6=0.5 Total=4.0 pass=oui. 20 ontologies incoherentes reelles.,"Large Language Models (LLMs) have taken Knowledge Representation - and the world - by storm. This inflection point marks a shift from explicit knowledge representation to a renewed focus on the hybrid representation of both explicit knowledge and parametric knowledge. In this position paper, we will discuss some of the common debate points within the community on LLMs (parametric knowledge) and Knowledge Graphs (explicit knowledge) and speculate on opportunities and visions that the renewed focus brings, as well as related research topics and challenges.",inclus,inclus,BT06
BT-07,backtracking,1,2023,"Zhu, Liu, Yao et al.",TGR: Neural-Symbolic Ontological Reasoner for Domain Knowledge Graphs,10.1007/s10489-023-04834-8,,673,oui,127,exclude,haute — raisonneur ontologique NeSy,,I4 pass: OWL+SWRL compiles approximativement en reseaux neuronaux pour ABox reasoning. Q1=1 Q2=1 Q3=1 Q4=0.5 Q5=0.5 Q6=0.5 Total=4.0 pass=oui. 3 ontologies open-source. Comparaison reasoners classiques.,"Information extraction is a key activity for remote sensing images. A common distinction exists between knowledge-driven and data-driven methods. Knowledge-driven methods have advanced reasoning ability and interpretability, but have difficulty in handling complicated tasks since prior knowledge is usually limited when facing the highly complex spatial patterns and geoscience phenomena found in reality. Data-driven models, especially those emerging in machine learning (ML) and deep learning (DL), have achieved substantial progress in geoscience and remote sensing applications. Although DL models have powerful feature learning and representation capabilities, traditional DL has inherent problems including working as a black box and generally requiring a large number of labeled training data. The focus of this paper is on methods that integrate domain knowledge, such as geoscience knowledge and geoscience features (GK/GFs), into the design of DL models. The paper introduces the new paradigm of geoscience-aware deep learning (GADL), in which GK/GFs and DL models are combined deeply to extract information from remote sensing data. It first provides a comprehensive summary of GK/GFs used in GADL, which forms the basis for subsequent integration of GK/GFs with DL models. This is followed by a taxonomy of approaches for integrating GK/GFs with DL models. Several approaches are detailed using illustrative examples. Challenges and research prospects in GADL are then discussed. Developing more novel and advanced methods in GADL is expected to become the prevailing trend in advancing remotely sensed information extraction in the future.",inclus,inclus,BT07
BT-08,backtracking,1,2023,"Chen, He, Jiménez-Ruiz et al.",Contextual Semantic Embeddings for Ontology Subsumption Prediction,10.1007/s11280-023-01169-9,,665,non,,,,,I4 echoue: BERT predit la subsomption OWL mais raisonnement DL non actif dans l inference. Subsomption utilisee comme label d entrainement uniquement.,"Automating ontology construction and curation is an important but challenging task in knowledge engineering and artificial intelligence. Prediction by machine learning techniques such as contextual semantic embedding is a promising direction, but the relevant research is still preliminary especially for expressive ontologies in Web Ontology Language (OWL). In this paper, we present a new subsumption prediction method named BERTSubs for classes of OWL ontology. It exploits the pre-trained language model BERT to compute contextual embeddings of a class, where customized templates are proposed to incorporate the class context (e.g., neighbouring classes) and the logical existential restriction. BERTSubs is able to predict multiple kinds of subsumers including named classes from the same ontology or another ontology, and existential restrictions from the same ontology. Extensive evaluation on five real-world ontologies for three different subsumption tasks has shown the effectiveness of the templates and that BERTSubs can dramatically outperform the baselines that use (literal-aware) knowledge graph embeddings, non-contextual word embeddings and the state-of-the-art OWL ontology embeddings.",inclus,exclu_I4,
