title,abstract,authors,year,doi,source,keywords,doc_type,citations,database,query
Towards InnoGraph: A Knowledge Graph for AI Innovation,"Researchers seeking to comprehend the state-of-the-art innovations in a particular field of study must examine recent patents and scientific articles in that domain. Innovation ecosystems consist of interconnected information about entities such as researchers, institutions, projects, products, and technologies. However, representing such information in a machine-readable format is challenging because concepts like ""knowledge"" are not easily represented. Nonetheless, even a partial representation of innovation ecosystems provides valuable insights. Therefore, representing innovation ecosystems as knowledge graphs (KGs) would enable advanced data analysis and generate new insights. To this end, we propose InnoGraph, a framework that integrates multiple heterogeneous data sources to build a Knowledge Graph of the worldwide AI innovation ecosystem.","Massri, M.Besher and Spahiu, Blerina and Grobelnik, Marko and Alexiev, Vladimir and Palmonari, Matteo and Roman, Dumitru",2023,10.1145/3543873.3587614,Companion Proceedings of the ACM Web Conference 2023,"artificial intelligence, economics knowledge graph, innovation, innovation ecosystem, knowledge graph, science knowledge graph",Conference Paper,,ACM,R1
Unicorn: A Unified Multi-tasking Model for Supporting Matching Tasks in Data Integration,"Data matching - which decides whether two data elements (e.g., string, tuple, column, or knowledge graph entity) are the ""same"" (a.k.a. a match) - is a key concept in data integration, such as entity matching and schema matching. The widely used practice is to build task-specific or even dataset-specific solutions, which are hard to generalize and disable the opportunities of knowledge sharing that can be learned from different datasets and multiple tasks. In this paper, we propose Unicorn, a unified model for generally supporting common data matching tasks. Unicorn can enable knowledge sharing by learning from multiple tasks and multiple datasets, and can also support zero-shot prediction for new tasks with zero labeled matching/non-matching pairs. However, building such a unified model is challenging due to heterogeneous formats of input data elements and various matching semantics of multiple tasks. To address the challenges, Unicorn employs one generic Encoder that converts any pair of data elements (a, b) into a learned representation, and uses a Matcher, which is a binary classifier, to decide whether a matches b. To align matching semantics of multiple tasks, Unicorn adopts a mixture-of-experts model that enhances the learned representation into a better representation. We conduct extensive experiments using 20 datasets on seven well-studied data matching tasks, and find that our unified model can achieve better performance on most tasks and on average, compared with the state-of-the-art specific models trained for ad-hoc tasks and datasets separately. Moreover, Unicorn can also well serve new matching tasks with zero-shot learning.","Tu, Jianhong and Fan, Ju and Tang, Nan and Wang, Peng and Li, Guoliang and Du, Xiaoyong and Jia, Xiaofeng and Gao, Song",2023,10.1145/3588938,Proc. ACM Manag. Data,"data integration, data matching, multi-task learning",Journal Article,,ACM,R1+R2B
Deep Convolutional Neural Network for Knowledge-Infused Text Classification,"Deep neural networks are extensively used in text mining and Natural Language Processing is to enable computers to understand, analyze, and generate natural language data, such as text or speech, but semantic resources, such as taxonomies and ontologies, are not fully included in deep learning. In this paper, we use Deep Convolutional Neural Network (Deep CNN) to classify research papers using the Computer Science Ontology, an ontology of research areas in the field of computer science. It takes as input the abstract and keywords of a particular research paper and returns the relevant research topic. To evaluate our ontology, we used a gold standard dataset that includes research articles. To further improve text classification results, we propose to design a Deep CNN model. We then used ontology matching to reduce the classes and get better results. Experimental results show that the proposed approach outperforms the one with the highest precision, recall, and F1-score.","Malik, Sonika and Jain, Sarika",2024,10.1007/s00354-024-00245-6,New Gen. Comput.,"Convolutional neural network, Computer science ontology, Ontology matching, Natural language processing, Classification",Journal Article,,ACM,R1
CopycHats: Question Sequencing with Artificial Agents,"Schema Matching, the task of finding correspondences among attributes of different schemata, plays an important role in data integration. The task has been extensively researched, leading to the development of multiple algorithmic approaches, many of which incorporate humans to some extent, by performing the matching, validating algorithmic solutions, or generating reliable ground truth for algorithms to be trained against. Human matching is a temporal process, in which previous decisions and ongoing cognitive processes influence future behavior. Therefore, planning a human matching task necessitates careful consideration, for example, the ordering of questions posed to the matcher. Various strategies exist for optimally choosing the sequence of matching questions and evaluating them may be limited by notable inherent human limitations. In this work, we propose to leverage Large Language Models (LLMs) to create artificial agents that emulate human agents in order to evaluate question sequencing strategies. We offer an alternative to traditional human-based evaluations, which overcome those limitations. We test our suggested evaluation framework and discuss the similarities and differences between artificial and human agents in the context of schema matching evaluation.","Solomon, Matan and Genossar, Bar and Gal, Avigdor",2024,10.1145/3665939.3665963,Proceedings of the 2024 Workshop on Human-In-the-Loop Data Analytics,,Conference Paper,,ACM,R1
Towards an extensible ontology for streaming sensor data for clinical trials,"The use of wearable sensors for clinical trials can lead to better data collection and a better patient experience during trials, and can further allow more patients to participate in trials by allowing more remote monitoring and fewer site visits. However, extracting maximum value from the data collected via streaming sensors presents some specific technical challenges, including processing the data in real time, and storing the sensor data in a representation that facilitates the use of biomarker algorithms that can be used and reused with different similar sensors, at different scales, and across different clinical trials. Here we present our initial work on SORBET, a Sensor Ontology for Reusable Biometric Expressions and Transformations. Our design strategy is presented, along with the initial design and examples. While this ontology has been created for the Medidata Sensor Cloud product, it is our hope that others working in this space will join us in extending and hardening this ontology, as we expand it to incorporate more sensors and more needs for clinical trials research.","Lyons, Robert and Low, Geoffrey Ross and Congdon, Clare Bates and Ceruolo, Melissa and Ballesteros, Marissa and Cambria, Steven and DePetrillo, Paolo",2021,10.1145/3459930.3469562,"Proceedings of the 12th ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics","health informatics, ontology engineering, semantic networks",Conference Paper,,ACM,R1
A Design Scheme of STEM Digital Textbook Based on Metaverse and Generative Artificial Intelligence,"STEM teaching involves a wealth of interdisciplinary background knowledge. For traditional digital textbooks, due to the lack of a general way to integrate STEM interdisciplinary knowledge, it is difficult to provide learners with a sense of interdisciplinary cognitive presence under the real situation, and it is difficult to be used as a cognitive scaffold for STEM interdisciplinary teaching. Based on the metaverse virtual simulation and generative artificial intelligence technology, this paper designs a STEM digital textbook system scheme, in order to realize the intelligent transformation and upgrading of STEM digital textbooks.","Luo, Yufei and Ke, Danying and Lin, Jian",2025,10.1145/3711403.3711453,Proceedings of the 2024 7th International Conference on Educational Technology Management,"Digital textbook, Generative artificial intelligence, Metaverse, STEM education",Conference Paper,,ACM,R1
EPIC: effective prompting for imbalanced-class data synthesis in tabular data classification via large language models,"Large language models (LLMs) have demonstrated remarkable in-context learning capabilities across diverse applications. In this work, we explore the effectiveness of LLMs for generating realistic synthetic tabular data, identifying key prompt design elements to optimize performance. We introduce EPIC, a novel approach that leverages balanced, grouped data samples and consistent formatting with unique variable mapping to guide LLMs in generating accurate synthetic data across all classes, even for imbalanced datasets. Evaluations on real-world datasets show that EPIC achieves state-of-the-art machine learning classification performance, significantly improving generation efficiency. These findings highlight the effectiveness of EPIC for synthetic tabular data generation, particularly in addressing class imbalance. Our source code for our work is available https://seharanul17.github.io/project-synthetic-tabular-llm/.","Kim, Jinhee and Kim, Taesung and Choo, Jaegul",2024,,Proceedings of the 38th International Conference on Neural Information Processing Systems,,Conference Paper,,ACM,R1
NLFOA: Natural Language Focused Ontology Alignment,"For Ontology Alignment (OA), the task is to align semantically equivalent concepts and relations from different ontologies. This task plays a crucial role in many downstream tasks and applications in academia and industry. Since manually aligning ontologies is inefficient and costly, numerous approaches exist to do this automatically. However, most approaches are tailored to specific domains, are rule-based systems or based on feature engineering, and require external knowledge. The most recent advances in the field of OA rely on the widely proven effectiveness of pre-trained language models to represent the human-generated language that describes the entities in an ontology. However, these approaches additionally require sophisticated algorithms or Graph Neural Networks to exploit an ontology’s graphical structure to achieve state-of-the-art performance. In this work, we present NLFOA, or Natural Language Focused Ontology Alignment, which purely focuses on the natural language contained in ontologies to process the ontology’s semantics as well as graphical structure. An evaluation of our approach on common OA datasets shows superior results when finetuning with only a small number of training samples. Additionally, it demonstrates strong results in a zero-shot setting which could be employed in an active learning setup to reduce human labor when manually aligning ontologies significantly.","Schneider, Florian and Dash, Sarthak and Bagchi, Sugato and Mihindukulasooriya, Nandana and Gliozzo, Alfio Massimiliano",2023,10.1145/3587259.3627560,Proceedings of the 12th Knowledge Capture Conference 2023,Ontology Alignment Sentence Transformers Zero-Shot,Conference Paper,,ACM,R1
MIHBench: Benchmarking and Mitigating Multi-Image Hallucinations in Multimodal Large Language Models,"Despite growing interest in hallucination in Multimodal Large Language Models (MLLMs), existing studies primarily focus on single-image settings, leaving hallucination in multi-image scenarios largely unexplored. To address this gap, we conduct the first systematic study of hallucinations in multi-image MLLMs and propose MIHBench, a benchmark specifically tailored for evaluating object-related hallucinations across multiple images. MIHBench comprises three core tasks-Multi-Image Object Existence Hallucination, Multi-Image Object Count Hallucination, and Object Identity Consistency Hallucination-targeting semantic understanding across object existence, quantity reasoning, and cross-view identity consistency. Through extensive evaluation, we identify key factors associated with the occurrence of multi-image hallucinations, including: (1) a progressive relationship between the number of image inputs and the likelihood of hallucination occurrences; (2) a strong correlation between single-image hallucination tendencies and those observed in multi-image contexts; and (3) the influence of same object image ratios and the positional placement of negative samples within image sequences on the occurrence of object identity consistency hallucination. To address these challenges, we propose a Dynamic Attention Balancing (DAB) mechanism that adjusts inter-image attention distributions while preserving the overall visual attention proportion. Experiments across multiple state-of-the-art MLLMs demonstrate that our method effectively reduces hallucination occurrences and enhances semantic integration and reasoning stability in multi-image scenarios.","Li, Jiale and Wu, Mingrui and Jin, Zixiang and Chen, Hao and Ji, Jiayi and Sun, Xiaoshuai and Cao, Liujuan and Ji, Rongrong",2025,10.1145/3746027.3754993,Proceedings of the 33rd ACM International Conference on Multimedia,"multi-image hallucination, multimodal large language models",Conference Paper,,ACM,R1
Combining Small Language Models and Large Language Models for Zero-Shot NL2SQL,"Zero-shot natural language to SQL (NL2SQL) aims to generalize pretrained NL2SQL models to new environments (e.g., new databases and new linguistic phenomena) without any annotated NL2SQL samples from these environments. Existing approaches either use small language models (SLMs) like BART and T5, or prompt large language models (LLMs). However, SLMs may struggle with complex natural language reasoning, and LLMs may not precisely align schemas to identify the correct columns or tables. In this paper, we propose a ZeroNL2SQL framework, which divides NL2SQL into smaller sub-tasks and utilizes both SLMs and LLMs. ZeroNL2SQL first fine-tunes SLMs for better generalizability in SQL structure identification and schema alignment, producing an SQL sketch. It then uses LLMs's language reasoning capability to fill in the missing information in the SQL sketch. To support ZeroNL2SQL, we propose novel database serialization and question-aware alignment methods for effective sketch generation using SLMs. Additionally, we devise a multi-level matching strategy to recommend the most relevant values to LLMs, and select the optimal SQL query via an execution-based strategy. Comprehensive experiments show that ZeroNL2SQL achieves the best zero-shot NL2SQL performance on benchmarks, i.e., outperforming the state-of-the-art SLM-based methods by 5.5% to 16.4% and exceeding LLM-based methods by 10% to 20% on execution accuracy.","Fan, Ju and Gu, Zihui and Zhang, Songyue and Zhang, Yuxin and Chen, Zui and Cao, Lei and Li, Guoliang and Madden, Samuel and Du, Xiaoyong and Tang, Nan",2024,10.14778/3681954.3681960,Proc. VLDB Endow.,,Journal Article,,ACM,R1
Triple trustworthiness evaluation for knowledge graph of industrial domain,"The knowledge graph is widely used in industrial fields due to its structural characteristics. In order to reduce the cost of wrong decision-making, it is more important for the industrial knowledge graph to guarantee the quality and comprehensiveness of knowledge. In order to obtain the trustworthiness information of triples in the graph, this paper proposed a model to evaluate triple trustworthiness for industrial knowledge graphs(TT-IKG) and obtains the final score of triples by fusing the output of three sub-modules that investigate the local confidence of triples, the confidence of schema-matching and the confidence of global paths. Experiments on the real industrial knowledge graph of enterprises verified the effectiveness of the model, and the experimental results on the error detection and graph completion tasks of the knowledge graph show that the effect is better than that of other models.","Wang, Chu and Wang, Jian",2023,10.3233/jifs-231449,J. Intell. Fuzzy Syst.,"Knowledge graph, triple trustworthiness, industrial domain, representation learning",Journal Article,,ACM,R1
Anchor-based ontology partitioning and Genetic Programming with Relevance Reasoning for large-scale biomedical ontology matching,,"Sun, Donglei and Lv, Qing and Tsai, Pei-Wei and Xue, Xingsi and Zhang, Kai",2025,10.1016/j.eswa.2025.126445,Expert Syst. Appl.,"Large-scale biomedical ontology matching, Anchor-based hierarchical partitioning, Genetic Programming (GP), Relevance Reasoning, Task termination prediction",Journal Article,,ACM,R1
OntoTune: Ontology-Driven Self-training for Aligning Large Language Models,"Existing domain-specific Large Language Models (LLMs) are typically developed by fine-tuning general-purposed LLMs with large-scale domain-specific corpora. However, training on large-scale corpora often fails to effectively organize domain knowledge of LLMs, leading to fragmented understanding. Inspired by how humans connect concepts and organize knowledge through mind maps, we aim to emulate this approach by using ontology with hierarchical conceptual knowledge to reorganize LLM's domain knowledge. From this perspective, we propose an ontology-driven self-training framework called OntoTune, which aims to align LLMs with ontology through in-context learning, enabling the generation of responses guided by the ontology. We leverage in-context learning to identify whether the LLM has acquired the specific concept's ontology knowledge, and select the entries not yet mastered by LLM as the training set to further align the LLM with ontology. Compared to existing domain LLMs based on newly collected large-scale domain-specific corpora, our OntoTune, which relies on the existing, long-term developed ontology and LLM itself, significantly reduces data maintenance costs and offers improved generalization ability. We conduct our study in the medical domain to evaluate the effectiveness of OntoTune, utilizing a standardized medical ontology, SNOMED CT as our ontology source. Experimental results demonstrate that OntoTune achieves state-of-the-art performance in both in-ontology task hypernym discovery and out-of-ontology task medical domain QA. Moreover, compared to the latest direct ontology injection method TaxoLLaMA, our OntoTune better preserves original knowledge of LLM. The code and data are available at https://github.com/zjukg/OntoTune.","Liu, Zhiqiang and Gan, Chengtao and Wang, Junjie and Zhang, Yichi and Bo, Zhongpu and Sun, Mengshu and Chen, Huajun and Zhang, Wen",2025,10.1145/3696410.3714816,Proceedings of the ACM on Web Conference 2025,"align with ontology, large language model, self-training",Conference Paper,,ACM,R1
Smart Science Needs Linked Open Data with a Dash of Large Language Models and Extended Relations,"Quality scientific inquiries depend on access to data distributed over the entire globe. Linked open data (LOD) and FAIRness play major roles in ensuring access to data that scientists need to answer interesting questions. However, a data model and a query language to compute responses to complex scientific inquiries remain outstanding. As the recent emergence of large language models (LLM) reshape how we interact with machines, an intriguing prospect of posing scientific inquiries to smart machines suddenly appears realizable in which a natural language ChatBot is empowered with a LOD knowledgebase as its data source. In this paper, we introduce a model for an LLM interpreter, called ProAb, that aims to answer natural language scientific queries using a structured query language called Needle in which the LOD is viewed as a set of tables. We discuss the contours of ProAb, present its preliminary and experimental design, and highlight its salient features using an illustrative example. It should be apparent that a full automation of ProAb is feasible with further research.","Jamil, Hasan M.",2024,10.1145/3663742.3663971,Proceedings of the Seventh International Workshop on Exploiting Artificial Intelligence Techniques for Data Management,"Extended Relational Model, Intelligent User Interface, Large Language Model, Query Processing, Structured Query Language",Conference Paper,,ACM,R1
A Proposal of a Knowledge Graph for Digital Engineering Systems Integration for Operation and Maintenance Activities in Industrial Plants,"Context: Over the last years, we have observed Knowledge Graphs (KGs) being used more and more as a tool for representing knowledge, data integration and querying data. Problem: There are many distinguished yet partially-integrated information management systems used to support the life-cycle of Oil and Gas industrial plants. Our approach considers a 3D plants viewer system, a visual navigation system on platforms, and the integrated intelligent search system. However, these systems lack a semantic integration that can guide the user actions over each functionality for a unique asset. Solution: This paper presents the use of KGs to represent and help monitoring and controlling operational and maintenance activities within an Oil and Gas industrial environment. Our approach highlights the challenges and initial work required to establish a fully-integrated management domain, where the execution of the aforementioned activities can easily be managed. SI Theory: This study draws inspiration from Representation Theory, which posits that an information system faithfully mirrors specific phenomena occurring in the physical world. Method: To develop this work, it was necessary to review the literature related to the development of KGs and ontologies. The generated KG was developed using well-established standards like the Industrial Data Ontology (IDO), and the Capital Facilities Information Handover Specification (CFIHOS), complemented with the use of other ontologies. Summary of Results: A prototype of the conceptual KG was implemented, verifying the viability of our approach for data integration. Contributions and Impact in IS area: The resulted graph contains the main terms in compliance with international semantic standards for representing operational and maintenance activities data associated with facilities involved in Oil and Gas production. Finally, the KG resulting from this effort can be further extended through the incorporation of new tools and subdomains in the industrial plants life-cycle.","Molina De Armas, Elvismary and Hamazaki Da Silva, Geiza Maria and Torres Izquierdo, Yenier and Lemos, Melissa and De Lima Britto, Paulo Vin\'\icius and Corseuil, Eduardo Thadeu and Souza Garcia, Robinson Luiz",2024,10.1145/3658271.3658339,Proceedings of the 20th Brazilian Symposium on Information Systems,"Data Integration, Digital Engineering, Industrial Plants, Knowledge Graphs, Ontology, Operation and Maintenance activities",Conference Paper,,ACM,R1+R2B
Xpert: Empowering Incident Management with Query Recommendations via Large Language Models,"Large-scale cloud systems play a pivotal role in modern IT infrastructure. However, incidents occurring within these systems can lead to service disruptions and adversely affect user experience. To swiftly resolve such incidents, on-call engineers depend on crafting domain-specific language (DSL) queries to analyze telemetry data. However, writing these queries can be challenging and time-consuming. This paper presents a thorough empirical study on the utilization of queries of KQL, a DSL employed for incident management in a large-scale cloud management system at Microsoft. The findings obtained underscore the importance and viability of KQL queries recommendation to enhance incident management.Building upon these valuable insights, we introduce Xpert, an end-to-end machine learning framework that automates KQL recommendation process. By leveraging historical incident data and large language models, Xpert generates customized KQL queries tailored to new incidents. Furthermore, Xpert incorporates a novel performance metric called Xcore, enabling a thorough evaluation of query quality from three comprehensive perspectives. We conduct extensive evaluations of Xpert, demonstrating its effectiveness in offline settings. Notably, we deploy Xpert in the real production environment of a large-scale incident management system in Microsoft, validating its efficiency in supporting incident management. To the best of our knowledge, this paper represents the first empirical study of its kind, and Xpert stands as a pioneering DSL query recommendation framework designed for incident management.","Jiang, Yuxuan and Zhang, Chaoyun and He, Shilin and Yang, Zhihao and Ma, Minghua and Qin, Si and Kang, Yu and Dang, Yingnong and Rajmohan, Saravan and Lin, Qingwei and Zhang, Dongmei",2024,10.1145/3597503.3639081,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,"incident management, query generation, large language model",Conference Paper,,ACM,R1
Aligning eIDAS and Trust Over IP: A Mapping Approach,"On 29 February 2024,&nbsp;the European Parliament approved the amendment of the eIDAS Regulation. The revision introduces new elements and a new EU Digital Identity Wallet, expected to be ready by the end of 2026. Even after the&nbsp;wallet is released, the numerous digital identity schemes operating within the Member States will continue to function for some time. The introduction of the new wallet and the coexistence of numerous digital identity schemes will pose challenges for service providers, who will need to adapt to support various means of identity, including the EU wallet, for their services. In response to this challenge, this study examines how to plan interoperability between eIDAS and existing frameworks. First, we organize the eIDAS components in a knowledge graph that encodes information through entities and their relations. While doing this, we highlight various design patterns and use a graph entity alignment method to map components of eIDAS and the Trust Over IP.","Lepore, Cristian and Laborde, Romain and Eynard, Jessica",2024,10.1145/3664476.3670919,"Proceedings of the 19th International Conference on Availability, Reliability and Security","Digital Identity, European Digital Wallet, Interoperability, Mapping, Trust Over IP, Trust Services, eIDAS",Conference Paper,,ACM,R1
